s_sector,r_sector,lag,corr,pvalue,significant,n_obs
ConsumerDiscretionary,ConsumerStaples,5,0.010168230412743413,0.8741824834123448,False,245
ConsumerDiscretionary,ConsumerDiscretionary,0,0.0603569573985462,0.34190324108294134,False,250
ConsumerDiscretionary,ConsumerDiscretionary,1,-0.16523724219918762,0.008994554667703266,True,249
ConsumerDiscretionary,ConsumerDiscretionary,2,-0.043573930486367346,0.4945684709036189,False,248
ConsumerDiscretionary,ConsumerDiscretionary,3,-0.035929511416732104,0.5741202811672549,False,247
ConsumerDiscretionary,ConsumerDiscretionary,4,-0.054070615291651886,0.39846660951681934,False,246
ConsumerDiscretionary,ConsumerDiscretionary,5,-0.035891408486641616,0.5760958209316639,False,245
ConsumerDiscretionary,Energy,0,0.025411264412475272,0.6892755651927155,False,250
ConsumerDiscretionary,Energy,1,-0.03156198904298005,0.6201362145732779,False,249
ConsumerDiscretionary,Energy,2,0.13187220155862098,0.03795822301359336,True,248
ConsumerDiscretionary,Energy,3,-0.06144937971381373,0.336168570898554,False,247
